aaa,9857922,8719,107,196
aab,9940362,8889,55,85
aac,9445121,9707,167,355
aad,9830543,9167,516,814
aae,9996126,7805,149,257
aaf,9617465,9887,64,110
aag,9713354,7416,87,192
aba,9691571,8235,275,370
abb,9969796,9088,163,309
abc,9917102,8256,7,26
abd,9786830,9638,122,226
abe,9837142,8360,37,66
abf,9559007,6949,167,247
abg,9772768,8111,250,348
aca,9746369,6680,208,312
acb,9994773,9308,122,252
acc,9972942,9045,27,70
acd,9969323,9437,177,276
ace,9828084,7911,63,124
acf,9838553,9950,346,554
acg,9964950,8471,100,258
ada,9902357,9504,32,91
adb,9900319,9547,190,275
adc,9596909,9065,87,198
add,9658464,9201,54,126
ade,9801280,10737,60,218
adf,9956622,9097,6,13
adg,9988303,7004,391,616
aea,9760167,10230,184,268
aeb,9809537,7327,62,105
aec,9740680,8955,100,192
aed,9894754,8497,279,498
aee,9958977,7628,19,72
aef,9826293,10710,15,30
aeg,9911604,10375,106,246
afa,9988742,8435,68,107
afb,9959134,8588,260,334
afc,9979847,8894,11,29
afd,9963664,7869,227,341
afe,9824505,8597,163,364
aff,9975418,7315,239,348
afg,9958038,8835,216,311
aga,9983760,7747,39,76
agb,9597835,10428,158,345
agc,9855130,10135,28,41
agd,9981716,8277,5,10
age,9931079,8405,104,258
agf,9962467,9838,8,45
agg,9826470,9291,165,288
baa,9563710,10039,89,249
bab,9817641,7425,9,24
bac,9780358,10124,120,241
bad,9917579,8373,193,409
bae,9686209,8765,130,240
baf,9712889,10339,12,41
bag,9980102,9648,117,196
bba,9861591,9623,84,239
bbb,9811729,9220,97,283
bbc,9895481,9762,163,247
bbd,9770613,7194,109,247
bbe,9769086,8380,81,141
bbf,9938844,7899,326,510
bbg,9927834,8784,66,116
bca,9941860,8345,24,75
bcb,9948177,9211,130,281
bcc,9812879,9288,260,362
bcd,9675617,9887,209,316
bce,9975531,7788,41,82
bcf,9947078,7671,155,275
bcg,9822490,9168,5,14
bda,9897559,10304,116,201
bdb,9826155,6793,170,253
bdc,9680898,8895,60,113
bdd,9577619,9781,118,291
bde,9648167,8908,41,90
bdf,9976373,9299,161,223
bdg,9928513,9273,132,227
bea,9882757,7891,7,22
beb,9972361,10050,12,51
bec,9565102,9324,213,400
bed,9970352,9101,7,20
bee,9996372,9335,111,195
bef,9871400,10067,33,101
beg,9975100,9021,495,1045
bfa,9834345,7919,72,189
bfb,9968032,8453,205,349
bfc,9968189,8010,13,63
bfd,9809460,8232,51,116
bfe,9936633,8281,363,545
bff,9987306,9539,78,205
bfg,9925921,9031,21,52
bga,9996389,9712,56,108
bgb,9944694,8568,88,183
bgc,9917375,8856,41,112
bgd,9898429,7948,160,329
bge,9668789,8541,226,360
bgf,9811375,6653,93,208
bgg,9900857,8783,169,261
caa,9829764,7964,195,368
cab,9995100,7023,107,160
cac,9873093,7947,55,90
cad,9925409,9877,69,155
cae,9897524,7976,259,382
caf,9988323,7524,295,439
cag,9814024,8501,416,642
